1988.06,14
1988.07,14
1988.08,14
1988.09,12
1988.10,9
1988.11,5
1988.12,7
1989.01,6
1989.02,5
1989.03,7
1989.04,6
1989.05,11
1989.06,13
1989.07,17
1989.08,15
1989.09,13
1989.10,12
1989.12,5
1990.01,6
1990.02,6
1990.03,8
1990.04,7
1990.05,12
1990.06,13
1990.07,16
1990.08,16
1990.09,12
1990.10,11
1990.11,6
1990.12,4
1991.01,3
1991.02,3
1991.03,7
1991.04,7
1991.05,11
1991.06,12
1991.07,16
1991.08,16
1991.09,13
1991.10,9
1991.11,6
1991.12,5
1992.01,4
1992.02,6
1992.03,7
1992.04,8
1992.05,12
1992.06,14
1992.07,15
1992.08,14
1992.09,12
1992.10,7
1992.11,7
1992.12,3
1993.01,6
1993.02,6
1993.03,7
1993.04,9
1993.05,9
1993.06,13
1993.07,14
1993.08,14
1993.09,11
1993.10,7
1993.11,5
1993.12,5
1994.01,4
1994.02,4
1994.03,7
1994.04,7
1994.05,9
1994.06,13
1994.07,15
1994.08,14
1994.09,11
1994.10,10
1994.11,9
1994.12,6
1995.01,4
1995.02,6
1995.03,5
1995.04,9
1995.05,10
1995.06,13
1995.07,17
1995.08,18
1995.09,13
1995.10,13
1995.11,7
1995.12,4
1996.01,6
1996.02,3
1996.03,5
1996.04,8
1996.05,8
1996.06,13
1996.07,15
1996.08,14
1996.09,13
1996.10,11
1996.11,5
1996.12,4
1997.01,4
1997.02,6
1997.03,8
1997.04,9
1997.05,10
1997.06,12
1997.07,15
1997.08,16
1997.09,13
1997.10,10
1997.11,8
1997.12,6
1998.01,5
1998.02,8
1998.03,8
1998.04,7
1998.05,12
1998.06,13
1998.07,15
1998.08,15
1998.09,13
1998.10,10
1998.11,7
1998.12,6
1999.01,5
1999.02,6
1999.03,7
1999.04,9
1999.05,12
1999.06,12
1999.07,16
1999.08,15
1999.09,14
1999.10,10
1999.11,7
1999.12,4
2000.01,5
2000.02,6
2000.03,7
2000.04,6
2000.05,11
2000.06,13
2000.07,15
2000.08,15
2000.09,14
2000.10,10
2000.11,6
2000.12,5
2001.01,3
2001.02,4
2001.03,5
2001.04,8
2001.05,12
2001.06,13
2001.07,15
2001.08,15
2001.09,13
2001.10,12
2001.11,7
2001.12,4
2002.01,6
2002.02,6
2002.03,7
2002.04,9
2002.05,11
2002.06,13
2002.07,15
2002.08,16
2002.09,13
2002.10,9
2002.11,8
2002.12,6
2003.01,5
2003.02,5
2003.03,7
2003.04,9
2003.05,11
2003.06,14
2003.07,16
2003.08,16
2003.09,14
